[2025-08-11 07:09:33,380] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:49:41,135] WARNING in alerts: {MSFT} Price: 522.039978
[2025-08-11 08:49:41,421] WARNING in alerts: {AAPL} Price: 229.35001
[2025-08-11 08:49:41,422] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 08:49:41,440] INFO in alerts: threshold alert has triggered for {MSFT:1}
[2025-08-11 08:49:41,447] WARNING in alerts: duration alert not met yet for {AAPL:2}
[2025-08-11 08:49:41,447] INFO in alerts: Evaluation completed
[2025-08-11 08:51:00,013] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:51:00,491] WARNING in alerts: {AAPL} Price: 229.35001
[2025-08-11 08:51:00,491] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 08:51:00,516] INFO in alerts: duration alert has triggered for {AAPL:2}
[2025-08-11 08:51:00,520] INFO in alerts: Evaluation completed
[2025-08-11 08:57:28,582] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:57:28,586] WARNING in alerts: There is no alert to tracking!
[2025-08-11 08:57:28,586] INFO in alerts: Evaluation completed
[2025-08-11 08:57:28,598] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 08:57:28,600] WARNING in alerts: There is no alert to tracking!
[2025-08-11 08:57:28,600] INFO in alerts: Evaluation completed
[2025-08-11 13:52:35,925] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 13:52:36,465] WARNING in alerts: {GOOGL} Price: 201.42
[2025-08-11 13:52:36,465] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 13:52:36,487] INFO in alerts: threshold alert has triggered for {GOOGL:3}
[2025-08-11 13:52:36,487] INFO in alerts: Evaluation completed
[2025-08-11 14:10:33,208] INFO in alerts: Start scheduled alert evaluation...
[2025-08-11 14:10:33,592] WARNING in alerts: {TSLA} Price: 329.64999
[2025-08-11 14:10:33,593] INFO in alerts: Prices has successfully fetched from external API
[2025-08-11 14:10:33,627] INFO in alerts: threshold alert has triggered for {TSLA:4}
[2025-08-11 14:10:33,628] INFO in alerts: Evaluation completed
